file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
A-1-caravan-or-us.gml.80;;;129;31007300;129;33007900
Small-result-b38;;;4;27006000;4;30007000
Small-result-b51;;;5;33006200;5;33009200
Small-result-b99;;;3;31007200;3;40008800
Small-result-b70;;;3;27006500;3;31006400
B-1-grd_1892_1_3;;;1;58100100;1;111937300
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy10;;;0;289051200;0;1711385000
C-1-afinput_exp_acyclic_indvary1_step1_batch_yyy08;;;1;29007100;1;28006300
Small-result-b71;;;3;28006800;3;32007300
Small-result-b45;;;3;28005200;3;31008300
A-1-afinput_exp_acyclic_indvary3_step1_batch_yyy10;;;1;31007100;1;32007500
Small-result-b53;;;3;29006400;3;33007300
A-2-ferry2.pfile-L3-C4-09.pddl.2.cnf;;;102;61013600;102;58013300
Small-result-b84;;;3;26005900;3;30007100
Small-result-b21;;;2;25006000;2;29007000
T-1-afinput_exp_acyclic_indvary1_step5_batch_yyy10;;;1;29007100;1;31007500
T-1-ER_100_30_5;;;1;44010500;1;41008900
T-1-BA_20_60_3;;;40;33007200;40;33007300
Small-result-b56;;;5;26006200;5;31007800
n100p5q2;;;3;67015600;3;75017400
Small-result-b8;;;2;30006900;2;32007600
Small-result-b25;;;2;32007500;2;41010300
Small-result-b42;;;3;31006900;3;26006000
A-2-afinput_exp_cycles_indvary1_step1_batch_yyy04;;;1;134030800;1;635141800
B-3-stb_390_450;;;1;1048234800;1;1637368400
Medium-result-b23;;;9;243058500;9;759170700
Small-result-b64;;;4;26006200;4;30005800
B-3-stb_767_429;;;1;334404900;1;425955300
Small-result-b76;;;3;32007700;3;36007500
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy03;;;1;251056400;1;1454326400
B-1-grd_3018_3_7;;;1;169038700;1;618136600
B-3-stb_696_368;;;1;930210100;1;1266676900
B-3-stb_763_492;;;2;795178100;2;1198268700
A-4-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;559134900;1;3712853100
Small-result-b14;;;2;29005900;2;35008500
T-3-afinput_exp_acyclic_indvary1_step2_batch_yyy09;;;1;389100200;1;2408540700
A-2-afinput_exp_cycles_indvary3_step1_batch_yyy04;;;1;170039200;1;846189400
C-1-grd_8034_1_2;;;1;419093900;1;1505338200
B-2-WS_200_20_90_50;;;1;865193400;1;1220430800
C-1-admbuster_8000;;;1;89019200;1;135030500
B-1-stb_138_162;;;3;28006100;3;37008400
T-2-grd_3018_3_7;;;1;166038200;1;598134500
n224p5q2_ve;;;9;4861091400;9;6466601900
A-1-BA_40_80_5;;;384;53011800;384;45009600
B-2-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;542122000;1;3670824400
Small-result-b55;;;7;37007500;7;38007500
A-2-grd_1948_5_1;;;1;119026700;1;412092800
B-3-stb_457_193;;;2;1993438100;2;3541453000
A-1-ferry2.pfile-L3-C1-04.pddl.2.cnf;;;20;33007700;20;30006700
A-3-afinput_exp_acyclic_indvary2_step2_batch_yyy10;;;1;435098100;1;2620588400
B-2-comune-di-castellanza_20151218_2338.gml.80;;;2552;167037100;2552;116016600
Small-result-b72;;;3;26006100;3;32007700
A-3-afinput_exp_cycles_indvary1_step1_batch_yyy03;;;4;161035200;4;745460100
B-1-afinput_exp_cycles_indvary1_step8_batch_yyy08;;;1;28006900;1;27006500
C-1-stb_234_487;;;1;29006200;1;36008100
B-2-stb_330_291;;;2;439098800;2;983529700
Small-result-b74;;;2;26005500;2;192043300
A-2-afinput_exp_cycles_depvary_step4_batch_yyy01;;;2;133030800;2;627140300
T-1-grd_156_3_6;;;1;31007100;1;32007100
T-2-grd_1697_5_7;;;1;98032100;1;311070900
Small-result-b82;;;3;28006800;3;27006400
Small-result-b100;;;3;31007200;3;33007300
Small-result-b18;;;2;30006700;2;29006700
Small-result-b41;;;3;28004400;3;31006900
C-1-admbuster_1000;;;1;32007200;1;39009100
Small-result-b47;;;7;36007500;7;38008800
Small-result-b83;;;3;28005900;3;33007500
Small-result-b50;;;3;32008000;3;34006400
A-1-stb_190_70;;;2;32007600;2;29007200
C-2-afinput_exp_acyclic_depvary_step6_batch_yyy05;;;1;235052900;1;1339319800
Small-result-b48;;;4;32008200;4;29006000
T-4-grd_6756_4_7;;;1;898240600;1;4320979900
Medium-result-b17;;;8;190042500;8;569127600
C-3-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;585130900;1;4063913000
B-3-WS_300_16_90_30;;;2;2022454100;2;3780495900
Small-result-b54;;;4;30006800;4;31007200
A-2-stb_428_430;;;2;2938669100;2;3961700700
Small-result-b97;;;3;32006900;3;33007400
C-1-admbuster_10000;;;1;105033100;1;147121200
Small-result-b89;;;3;38008500;3;34008200
A-2-grd_3908_2_1;;;1;191042600;1;677143200
Small-result-b87;;;3;27006100;3;30006900
Small-result-b60;;;4;30006500;4;27007100
Small-result-b26;;;2;37664200;2;57013400
Small-result-b66;;;2;27005700;2;31006800
C-2-afinput_exp_cycles_depvary_step4_batch_yyy05;;;0;273051500;0;1592367500
Small-result-b19;;;2;32007000;2;29005500
Small-result-b101;;;3;32006800;3;49518600
B-3-stb_430_209;;;2;2035159800;2;3868868400
B-1-BA_40_60_2;;;12;29006200;12;33007900
Small-result-b23;;;2;28007100;2;32007300
Small-result-b65;;;2;27006400;2;31006700
B-1-grd_1948_5_1;;;1;121026400;1;421095000
Small-result-b36;;;2;31007300;2;31006000
A-2-BA_200_30_2;;;384;55012500;384;45010300
A-3-afinput_exp_acyclic_depvary_step5_batch_yyy01;;;1;193043800;1;991222400
